dataset,sample_id,verdict,confidence,predicted_cwe,need_more_context
diversevul,diversevul_173495,benign,0.9,,False
diversevul,diversevul_15388,benign,0.9,,False
diversevul,diversevul_309922,uncertain,0.6,CWE-190,True
diversevul,diversevul_271822,benign,0.95,,False
diversevul,diversevul_175537,benign,0.95,,False
diversevul,diversevul_8811,benign,0.95,,False
diversevul,diversevul_297581,uncertain,0.5,,True
diversevul,diversevul_229678,benign,0.8,,False
diversevul,diversevul_218589,benign,0.95,,False
diversevul,diversevul_211567,benign,0.9,,False
diversevul,diversevul_12239,benign,0.9,,False
diversevul,diversevul_62124,benign,0.95,,False
diversevul,diversevul_90380,vulnerable,0.9,CWE-190,False
diversevul,diversevul_73525,uncertain,0.5,,True
